committee name,Name,Status,Type,FPPCID,PENID,MailingLine1,MailingLine2,MailingCity,MailingState,MailingZip,DisclosureLine1,DisclosureLine2,DisclosureCity,DisclosureState,DisclosurePostalCode,TreasurerFirst,TreasurerLast,TreasurerPrefix,Asst Treasurer First,Asst Treasurer Last,Asst Treasurer Prefix,Cont Cand First,Cont Cand Last,Cont Cand Prefix
12th A.D. Democratic Club,12th A.D. Democratic Club,TERMINATED,General Purpose,1250153,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
12th A.D. Democratic Committee,12th A.D. Democratic Committee,TERMINATED,General Purpose,1283260,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
12th Assembly District Chinese American Democratic Club,12th Assembly District Chinese American Democratic Club,TERMINATED,General Purpose,1249382,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
"A Better California, sponsored by Montgomery Advisors (Support Herrera for City Attorney 2009)","A Better California, sponsored by Montgomery Advisors (Support Herrera for City Attorney 2009)",TERMINATED,Primarily Formed Candidate,1257293,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1020 12th Street, Suite 408",,Sacramento,CA,95814,Paul,Kinney,,,,,,,
"A New San Francisco Majority in Support of the Democratic County Central Committee 2012 of JOHN AVALOS, KAT ANDERSON, DAVID CAMPOS, DAVID CHIU,...[see Attachment A for full list of candidates]","A New San Francisco Majority in Support of the Democratic County Central Committee 2012 of JOHN AVALOS, KAT ANDERSON, DAVID CAMPOS, DAVID CHIU,...[see Attachment A for full list of candidates]",NR,Primarily Formed Candidate,1347298,,2428 Bayshore Blvd. #110,,San Francisco,CA,94134,2428 Bayshore Blvd. #110,,San Francisco,CA,94134,Nelson,Ly,,,,,,,
"ADVENT SOFTWARE, INC.","ADVENT SOFTWARE, INC.",ANNUAL,Major Donor,Pending,,600 Townsend Street,,San Francisco,CA,94103,600 Townsend Street,,San Francisco,CA,94103,,,,,,,,,
"Advent Software, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
African American Democratic Club,African American Democratic Club,NR,General Purpose,981476,,P.O. Box 884692,,San Francisco,CA,94188,1551 Fillmore Street,,San Francisco,CA,94115,Alpha,Buie,,,,,,,
AIRBNB,AIRBNB,ANNUAL,Major Donor,Pending,,"99 Rhode Island, 2nd Floor",,San Francisco,CA,94103,"99 Rhode Island, 2nd Floor",,San Francisco,CA,94103,Kevin,Heneghan,,,,,,,
ALAN MARK,,,,,,,,,,,,,,,,,,,,,,,,
Alastair Mactaggart,Alastair Mactaggart,ANNUAL,Major Donor,Pending,,"532 Folsom Street, #400",,San Francisco,CA,94105,"532 Folsom Street, #400",,San Francisco,CA,94105,,,,,,,,,
Alex Gersznowicz,Alex Gersznowicz,ANNUAL,Major Donor,Pending,,9 Jade Place,,San Francisco,CA,94131,9 Jade Place,,San Francisco,CA,94131,,,,,,,,,
Alice B. Toklas Lesbian & Gay Democratic Club PAC,,,,,,,,,,,,,,,,,,,,,,,,
Alice B. Toklas Lesbian and Gay Democratic Club PAC,Alice B. Toklas Lesbian and Gay Democratic Club PAC,ACTIVE,General Purpose,842018,,"547 Page Street, #2",,San Francisco,CA,94117,"547 Page Street, #2",,San Francisco,CA,94117,Juan,Cerda,,Reese,Isbell,,,,
"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR AND BUSINESS ASSOCIATIONS SUPPORTING THERESA SPARKS FOR SUPERVISOR 2010",,,,,,,,,,,,,,,,,,,,,,,,
"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR UNIONS AND BUSINESS ASSOCIATIONS SUPPORTING SCOTT WIENER FOR SUPERVISOR 2010",,,,,,,,,,,,,,,,,,,,,,,,
"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR UNIONS AND BUSINESS ASSOCIATIONS SUPPORTING STEVE MOSS FOR SUPERVISOR 2010",,,,,,,,,,,,,,,,,,,,,,,,
ANGELIQUE GRIEPP,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Defamation League,Anti-Defamation League,ANNUAL,Major Donor,Pending,,605 3rd Avenue,,New York,NY,10158,605 3rd Avenue,,New York,NY,10158,Steven,Sheinberg,,,,,,,
Arjun Gupta,Arjun Gupta,ANNUAL,Major Donor,Pending,,"c/o Telesoft Partners 950 Tower Lane, Suite 1600",,San Mateo,CA,94404,"c/o Telesoft Partners 950 Tower Lane, Suite 1600",,San Mateo,CA,94404,,,,,,,,,
Arthur C. Patterson,Arthur C. Patterson,ANNUAL,Major Donor,1232857,,428 University Avenue,,Palo Alto,CA,94301,428 University Avenue,,Palo Alto,CA,94301,,,,,,,,,
ARTHUR KERN,,,,,,,,,,,,,,,,,,,,,,,,
Asian American Community Voice,Asian American Community Voice,TERMINATED,General Purpose,1260171,,"334 Kearny Street, #300",,San Francisco,CA,94108,"334 Kearny Street, #300",,San Francisco,CA,94108,Stephen,Loo,,,,,,,
Asian American Contractors Association (AACA) PAC,Asian American Contractors Association (AACA) PAC,TERMINATED,General Purpose,1312617,,1649 Jerrold Avenue,,San Francisco,CA,94124,1649 Jerrold Avenue,,San Francisco,CA,94124,Yum,Jung,,,,,,,
Asian Pacific Democratic Club PAC,,,,,,,,,,,,,,,,,,,,,,,,
Asian Pacific Democratic Club Political Action Committee,Asian Pacific Democratic Club Political Action Committee,ACTIVE,General Purpose,931558,,"20 Galli Drive, Suite A",,San Francisco,CA,94949,320 San Leandro Way,,San Francisco,CA,94127,Mary,Jung,,Nancy,Warren,,,,
"AUTODESK, INC.",,,,,,,,,,,,,,,,,,,,,,,,
Avalos for Mayor 2011,Avalos for Mayor 2011,ACTIVE,Candidate or Officeholder,1338378,,542 Munich Street,,San Francisco,CA,94112,542 Munich Street,,San Francisco,CA,94112,John,Avalos,,,,,John,Avalos,
Bank of America,Bank of America,ANNUAL,Major Donor,478084,PEN945,401 N Tryon Street,,Charlotte,NC,28255,401 N Tryon Street,,Charlotte,NC,28255,,,,,,,,,
BAY AREA COUNCIL FOUNDATION,BAY AREA COUNCIL FOUNDATION,ANNUAL,Major Donor,Pending,,"201 CALIFORNIA STREET, SUITE 1450",,SAN FRANCISCO,CA,94111,"201 CALIFORNIA STREET, SUITE 1450",,SAN FRANCISCO,CA,94111,Kevin,Heneghan,,,,,,,
BAY AREA FIREFIGHTERS PAC FUND OPPOSING MARK FARRELL FOR SUPERVISOR 2010,BAY AREA FIREFIGHTERS PAC FUND OPPOSING MARK FARRELL FOR SUPERVISOR 2010,TERMINATED,Primarily Formed Candidate,1332793,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,John,Hanley,,Kevin,Heneghan,,,,
"Bayview Committee for Affordable Housing, A Committee Formed to Support Measure F","Bayview Committee for Affordable Housing, A Committee Formed to Support Measure F",TERMINATED,Primarily Formed Measure,1303906,PEN1451,4909 Third Street,,San Francisco,CA,94124,4909 Third Street,,San Francisco,CA,94124,Doug,Comstock,,,,,,,
Bernal Heights Democratic Club,Bernal Heights Democratic Club,ACTIVE,General Purpose,923351,,543 Prentiss,,San Francisco,CA,94110,543 Prentiss,,San Francisco,CA,94110,Geoffrey,Bauman,,,,,,,
BOSTON PROPERTIES & AFFILIATED ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGE Housing Corporation,,,,,,,,,,,,,,,,,,,,,,,,
BUILDING OWNERS AND MANAGERS ASSOCIATION (BOMA) INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,,,,
BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE - BALLOT ISSUES (AKA BOMA-SF-PAC-BALLOT ISSUES),BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE - BALLOT ISSUES (AKA BOMA-SF-PAC-BALLOT ISSUES),ACTIVE,General Purpose,970432,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"233 Sansome Street, 8th Floor",,San Francisco,CA,94104,Nancy,Gille,,James,Sutton,,,,
BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE - INDEPENDENT EXPENDITURES AKA BOMA-SF-PAC-IE,BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE - INDEPENDENT EXPENDITURES AKA BOMA-SF-PAC-IE,ACTIVE,General Purpose,870449,,"150 Post Street, 405",,San Francisco,CA,94108,"233 Sansome Street, 8th Floor",,San Francisco,CA,94104,Nancy,Gille,,James,Sutton,,,,
BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE CANDIDATES (AKA BOMA-SF-PAC-CANDIDATE),BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE CANDIDATES (AKA BOMA-SF-PAC-CANDIDATE),NONSF,General Purpose,990279,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"233 Sansome Street, 8th Floor",,San Francisco,CA,94104,Kathy,Mattes,,James,Sutton,,,,
"Campaign for a Fair Economy and Higher Wages, sponsored by community and labor organizations",,,,,,,,,,,,,,,,,,,,,,,,
CARL E. SCHIERMEYER,,,,,,,,,,,,,,,,,,,,,,,,
"CDM SMITH, INC.","CDM SMITH, INC.",ANNUAL,Major Donor,Pending,,50 HAMPSHIRE STREET,,CAMBRIDGE,MA,2139,50 HAMPSHIRE STREET,,CAMBRIDGE,MA,2139,Kevin,Heneghan,,,,,,,
Cecile Mactaggart,Cecile Mactaggart,ANNUAL,Major Donor,Pending,,"781 Fifth Avenue, Apt. 304-310",,New York,NY,10022,"781 Fifth Avenue, Apt. 304-310",,New York,NY,10022,,,,,,,,,
"CFRI Market Street Holdings, LLC","CFRI Market Street Holdings, LLC",ANNUAL,Major Donor,,,364 Bush Street,,San Francisco,CA,94104,364 Bush Street,,San Francisco,CA,94104,,,,,,,,,
CHANGE PAC,CHANGE PAC,TERMINATED,General Purpose,1307410,,PO Box 640665,,San Francisco,CA,94164,"1050 Post Street, #35",,San Francisco,CA,94109,Timothy,Durning,,,,,,,
Charles R. Schwab,Charles R. Schwab,ANNUAL,Major Donor,486126,PEN569,PO Box 192861,,San Francisco,CA,94119,PO Box 192861,,San Francisco,CA,94119,,,,,,,,,
"Charles Schwab & Co., Inc.","Charles Schwab & Co., Inc.",ANNUAL,Major Donor,Pending,,211 Main Street,,San Francisco,CA,94105,211 Main Street,,San Francisco,CA,94105,,,,,,,,,
Charles Schwab Corporation,,,,,,,,,,,,,,,,,,,,,,,,
Children and Family First Committee,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Community Development Center,Chinatown Community Development Center,ANNUAL,Major Donor,Pending,,1535 Grant Avenue,,San Francisco,CA,94133,1535 Grant Avenue,,San Francisco,CA,94133,,,,,,,,,
Chinese Progressive Association,Chinese Progressive Association,ANNUAL,Major Donor,Pending,,"1042 Grant Avenue, 5th Floor",,San Francisco,CA,94133,"1042 Grant Avenue, 5th Floor",,San Francisco,CA,94133,Shawnda,Deane,,,,,,,
Choice for Students,Choice for Students,TERMINATED,General Purpose,1307181,,20 Galli Drive Suite A,,Novato,CA,94949,20 Galli Drive Suite A,,Novato,CA,94949,Quincy,Yu,,Michael,Bernick,,,,
Choose Health SF,,,,,,,,,,,,,,,,,,,,,,,,
CHOOSE HEALTH SF,,,,,,,,,,,,,,,,,,,,,,,,
Citizens Against Recall Abuse,Citizens Against Recall Abuse,TERMINATED,Primarily Formed Measure,1298421,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
Citizens for a Better San Francisco,Citizens for a Better San Francisco,ACTIVE,General Purpose,880066,,PMB 3741 - 268 Bush Street,,San Francisco,CA,94104,PMB 3741 - 268 Bush Street,,San Francisco,CA,94104,Edward,Poole,,David,Slosberg,,,,
"Citizens for Reform Leadership, #1","Citizens for Reform Leadership, #1",TERMINATED,General Purpose,1261911,,"381 Bush Street, Suite 300",,San Francisco,CA,94104,"381 Bush Street, Suite 300",,San Francisco,CA,94104,Wade,Randlett,,,,,,,
"Citizens for Reform Leadership, #2","Citizens for Reform Leadership, #2",TERMINATED,General Purpose,1261912,,"381 Bush Street, Suite 300",,San Francisco,CA,94104,"381 Bush Street, Suite 300",,San Francisco,CA,94104,Wade,Randlett,,,,,,,
"Citizens for Reform Leadership, #3","Citizens for Reform Leadership, #3",TERMINATED,General Purpose,1261913,,"381 Bush Street, Suite 300",,San Francisco,CA,94104,"381 Bush Street, Suite 300",,San Francisco,CA,94104,Wade,Randlett,,,,,,,
"Citizens for Reform Leadership, #4","Citizens for Reform Leadership, #4",TERMINATED,General Purpose,1261915,,"381 Bush Street, Suite 300",,San Francisco,CA,94104,"381 Bush Street, Suite 300",,San Francisco,CA,94104,Wade,Randlett,,,,,,,
"Citizens for Reform Leadership, #5","Citizens for Reform Leadership, #5",TERMINATED,General Purpose,1261916,,"381 Bush Street, Suite 300",,San Francisco,CA,94104,"381 Bush Street, Suite 300",,San Francisco,CA,94104,Wade,Randlett,,,,,,,
"Citizens for Reform Leadership, #6","Citizens for Reform Leadership, #6",TERMINATED,General Purpose,1261919,,"381 Bush Street, Suite 300",,San Francisco,CA,94108,"381 Bush Street, Suite 300",,San Francisco,CA,94108,Wade,Randlett,,,,,,,
CITIZENS FOR RELIABLE WATER AND A HEALTHY ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
"Citizens United for Reform - Yes on B; A coalition of healthcare advocates, taxpayers, labor and neighborhood business",,,,,,,,,,,,,,,,,,,,,,,,
"Citizens United for Reform - Yes on B; A coalition of healthcare advocates, taxpayers, labor, realtors and neighborhood business","Citizens United for Reform - Yes on B; A coalition of healthcare advocates, taxpayers, labor, realtors and neighborhood business",TERMINATED,Primarily Formed Measure,1305007,,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,Andy,Lim,,,,,,,
"City Residents Opposing Ed Lee for Mayor 2011, sponsored by American Federation of State County and Municipal Employees AFL-CIO and AFSCME CA People","City Residents Opposing Ed Lee for Mayor 2011, sponsored by American Federation of State County and Municipal Employees AFL-CIO and AFSCME CA People",TERMINATED,Primarily Formed Candidate,1338191,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1121 L Street, Suite 904",,Sacramento,CA,95814,Willie,Pelote,,,,,,,
"City Residents Supporting Leland Yee for Mayor 2011, sponsored by American Federation of State County and Municipal Employees AFL-CIO and AFSCME CA People",,,,,,,,,,,,,,,,,,,,,,,,
Clean SF,Clean SF,TERMINATED,General Purpose,1327006,,1524 Trollman Avenue,,San Mateo,CA,94401,1524 Trollman Avenue,,San Mateo,CA,94401,Robina,Singh,,,,,,,
Clinton T. Reilly,Clinton T. Reilly,ANNUAL,Major Donor,490376,PEN1170,"465 California Street, Suite 1600",,San Francisco,CA,94104,"465 California Street, Suite 1600",,San Francisco,CA,94104,,,,,,,,,
"Close the Loopholes - Yes on N, Yes on Q","Close the Loopholes - Yes on N, Yes on Q",TERMINATED,Primarily Formed Measure,1309988,,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,"1427 Lincoln Blvd., Ste. E",,Santa Monica,CA,90401,Andy,Lim,,,,,,,
Coalition for a Safer California,Coalition for a Safer California,ACTIVE,General Purpose,1306339,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,11 Lake Harbor Court,,Sacramento,CA,95831,Kathryn,Scott,,,,,,,
COALITION FOR BETTER HOUSING ISSUES PAC (CBH ISSUES PAC),,,,,,,,,,,,,,,,,,,,,,,,
Coalition for Civil Sidewalks - Yes on L - No on M 2010,Coalition for Civil Sidewalks - Yes on L - No on M 2010,TERMINATED,Primarily Formed Measure,1327161,Pending,"20 Galli Drive, Suite A",,San Francisco,CA,94949,"2261 Market Street, #319",,San Francisco,CA,94114,Justin,Buell,,Nancy,Warren,,,,
"COALITION FOR RENEWABLE ENERGY AND AFFORDABLE WATER RATES, NO ON E. MEMBERS INCLUDE NEIGHBORHOOD GROUPS, BUSINESSES, LABOR AND PACIFIC GAS AND ELECTRIC COMPANY","COALITION FOR RENEWABLE ENERGY AND AFFORDABLE WATER RATES, NO ON E. MEMBERS INCLUDE NEIGHBORHOOD GROUPS, BUSINESSES, LABOR AND PACIFIC GAS AND ELECTRIC COMPANY",TERMINATED,Primarily Formed Measure,1304627,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Douglas,Chan,,Kevin,Heneghan,,,,
COALITION FOR SENSIBLE GOVERNMENT,,,,,,,,,,,,,,,,,,,,,,,,
COALITION FOR SENSIBLE GOVERNMENT WITH MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS,COALITION FOR SENSIBLE GOVERNMENT WITH MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS,TERMINATED,General Purpose,1331757,,"150 POST STREET, SUITE 405",,San Francisco,CA,94108,"150 POST STREET, SUITE 405",,San Francisco,CA,94108,James,Sutton,,Jesse,Mainardi,,,,
"Coalition for Sustainable Housing, A Committee in Support of Proposition C","Coalition for Sustainable Housing, A Committee in Support of Proposition C",TERMINATED,Primarily Formed Measure,1349741,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
Coalition to Protect Golden Gate Park,,,,,,,,,,,,,,,,,,,,,,,,
"Coalition to Save City College, Sponsored by Service Employees International Union Local 1021","Coalition to Save City College, Sponsored by Service Employees International Union Local 1021",TERMINATED,Primarily Formed Measure,1345754,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,447 - 29th Street,,Oakland,CA,94609,Kathy,O'Neil,,Roxanne,Sanchez,,,,
"COALITION TO STIMULATE THE ECONOMY, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS","COALITION TO STIMULATE THE ECONOMY, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",TERMINATED,General Purpose,1331755,,"150 POST STREET, SUITE 405",,San Francisco,CA,94108,"150 POST STREET, SUITE 405",,San Francisco,CA,94108,James,Sutton,,Jesse,Mainardi,,,,
"COALITION TO STIMULATE THE ECONOMY, NO ON N, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",,,,,,,,,,,,,,,,,,,,,,,,
Coleman Action Fund for Children Committee,Coleman Action Fund for Children Committee,ACTIVE,General Purpose,1311766,,5429 Madison Avenue,,Sacramento,CA,95841,459 Vienna Street,,San Francisco,CA,94112,Neva,Walker,,Rita,Copeland,,,,
Coleman Advocates for Children & Youth,Coleman Advocates for Children & Youth,ANNUAL,Independent Expenditure,,PEN964,459 Vienna Street,,San Francisco,CA,94112,459 Vienna Street,,San Francisco,CA,94112,Ntanya,Lee,,,,,,,
"Committee Against Park Mismanagement, A Committee Opposed to Proposition B","Committee Against Park Mismanagement, A Committee Opposed to Proposition B",TERMINATED,Primarily Formed Measure,1348395,,325 Highland Ave,,San Francisco,CA,94110,325 Highland Ave,,San Francisco,CA,94110,David,Looman,,,,,,,
COMMITTEE FOR A BRIGHTER SAN FRANCISCO FUTURE,,,,,,,,,,,,,,,,,,,,,,,,
"COMMITTEE FOR A FAIR AND BETTER SAN FRANCISCO, NO ON G","COMMITTEE FOR A FAIR AND BETTER SAN FRANCISCO, NO ON G",TERMINATED,Primarily Formed Measure,1342495,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Kevin,Heneghan,,,,,,,
"Committee for a Safer San Francisco, Sharmin Bock for District Attorney 2011",,,,,,,,,,,,,,,,,,,,,,,,
"Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gasc?n for District Attorney 2011",,,,,,,,,,,,,,,,,,,,,,,,
"Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gascon for District Attorney 2011","Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gascon for District Attorney 2011",TERMINATED,Primarily Formed Candidate,1340803,,455 Capitol Mall Ste. 600,,Sacramento,CA,95814,455 Capitol Mall Ste. 600,,Sacramento,CA,95814,Charles,Bell,,Audrey,Martin,,,,
Committee for Better Wages,,,,,,,,,,,,,,,,,,,,,,,,
Committee for Effective City Management--A Committee in Support of Ed Lee for Mayor 2011,Committee for Effective City Management--A Committee in Support of Ed Lee for Mayor 2011,TERMINATED,Primarily Formed Candidate,1341523,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
"Committee for Parental Choice and Religious Freedom, sponsored by the Jewish Community Relations Council","Committee for Parental Choice and Religious Freedom, sponsored by the Jewish Community Relations Council",TERMINATED,Primarily Formed Measure,1338674,,PO Box 52,,San Francisco,CA,94104,"2261 Market Street, #319",,San Francisco,CA,94114,Natalie,Berg,,Nancy,Warren,,,,
"Committee for Quality Teachers and Education, Yes on Proposition A","Committee for Quality Teachers and Education, Yes on Proposition A",TERMINATED,Primarily Formed Measure,1305506,,"101 Montgomery Street, Suite 1900",,San Francisco,CA,94104,"101 Montgomery Street, Suite 1900",,San Francisco,CA,94104,Lawrence,Kane,,Raquel,Hernandez,,,,
Committee for Real Solutions for Housing -- A Committee Opposed to Proposition F,,,,,,,,,,,,,,,,,,,,,,,,
"Committee for Reliable Transportation & Better, Safer Streets",,,,,,,,,,,,,,,,,,,,,,,,
Committee on JOBS Candidate Advocacy Fund,,,,,,,,,,,,,,,,,,,,,,,,
Committee on Jobs Candidate Advocacy Fund,Committee on Jobs Candidate Advocacy Fund,ACTIVE,General Purpose,990831,,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,Christopher,Wright,,Kate,Cutting,,,,
Committee on JOBS Government Reform Fund,,,,,,,,,,,,,,,,,,,,,,,,
Committee on Jobs Government Reform Fund,Committee on Jobs Government Reform Fund,ACTIVE,General Purpose,982683,,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,"235 Montgomery Street, Suite 965",,San Francisco,CA,94104,Christopher,Wright,,Kate,Cutting,,,,
"Committee On Pharmaceutical Equality - COPE/SF, Major Funding by the AIDS Healthcare Foundation",,,,,,,,,,,,,,,,,,,,,,,,
Committee Opposing Forced Male Circumcision,Committee Opposing Forced Male Circumcision,TERMINATED,Primarily Formed Measure,1336649,,154 Delmar Street,,San Francisco,CA,94117,154 Delmar Street,,San Francisco,CA,94117,Frank,McGinness,,Lloyd,Schofield,,,,
Committee to Keep MUNI Accountable - No on P,Committee to Keep MUNI Accountable - No on P,TERMINATED,Primarily Formed Measure,1309995,,"584 Castro Street, # 414",,San Francisco,CA,94114,2069A Mission Street,,San Francisco,CA,94110,Steven,Mele,,,,,,,
Committee to Pass Laura's Law 2014,Committee to Pass Laura's Law 2014,TERMINATED,Primarily Formed Measure,1366967,,"5940 College Ave., Suite F",,San Francisco,CA,94618,"150 Post Street, Suite 405",,San Francisco,CA,94108,Stacy,Owens,,Hank,Levy,,,,
"COMMITTEE TO PRESERVE RENTAL HOUSING, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",,,,,,,,,,,,,,,,,,,,,,,,
"COMMITTEE TO PRESERVE RENTAL HOUSING, NO ON F, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",,,,,,,,,,,,,,,,,,,,,,,,
COMMITTEE TO REBUILD GENERAL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,
"COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION","COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION",TERMINATED,Primarily Formed Measure,1306196,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,James,Sutton,,Kevin,Heneghan,,,,
