committee name,Name,Status,Type,FPPCID,PENID,MailingLine1,MailingLine2,MailingCity,MailingState,MailingZip,DisclosureLine1,DisclosureLine2,DisclosureCity,DisclosureState,DisclosurePostalCode,TreasurerFirst,TreasurerLast,TreasurerPrefix,Asst Treasurer First,Asst Treasurer Last,Asst Treasurer Prefix,Cont Cand First,Cont Cand Last,Cont Cand Prefix
"COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 ISSUES PAC AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION",,,,,,,,,,,,,,,,,,,,,,,,
"Committee to Restore Our Waterfront, Yes on D","Committee to Restore Our Waterfront, Yes on D",TERMINATED,Primarily Formed Measure,1311013,,"660 Mission Street, 2nd Floor",,San Francisco,CA,94105,"660 Mission Street, 2nd Floor",,San Francisco,CA,94105,Steven,Mele,,,,,,,
"Committee to Save Our City College,Yes on A, supported by thousands of San Franciscans who support education (see attachment sheet for full committee name)",,,,,,,,,,,,,,,,,,,,,,,,
"Committee To Stop Mass Demolition of Housing, A Committee to Support Proposition","Committee To Stop Mass Demolition of Housing, A Committee to Support Proposition",TERMINATED,Primarily Formed Measure,1339557,,558 Capp Street,,San Francisco,CA,94110,558 Capp Street,,San Francisco,CA,94110,Ted,Gullicksen,,Rebecca,Reiner,,,,
"COMMITTEE TO STOP THE BLANK CHECK, NO ON H, A COALITION OF CONCERNED CONSUMERS, SMALL BUSINESSES, LABOR, COMMUNITY ORGANIZATIONS AND PACIFIC GAS AND ELECTRIC COMPANY","COMMITTEE TO STOP THE BLANK CHECK, NO ON H, A COALITION OF CONCERNED CONSUMERS, SMALL BUSINESSES, LABOR, COMMUNITY ORGANIZATIONS AND PACIFIC GAS AND ELECTRIC COMPANY",TERMINATED,Primarily Formed Measure,1308261,,"2350 Kerner Boulevard, Suite 250",,San Rafael,CA,94901,"2350 Kerner Boulevard, Suite 250",,San Rafael,CA,94901,,,,Jennifer,Lee,,,,
COMMITTEE TO SUPPORT OUR CITY COLLEGE--YES ON A,COMMITTEE TO SUPPORT OUR CITY COLLEGE--YES ON A,TERMINATED,Primarily Formed Measure,1276564,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Tim,Wolfred,,James,Sutton,,,,
"Common Sense Voters, SF 2010; Vote for Mark Farrell for District 2 Supervisor","Common Sense Voters, SF 2010; Vote for Mark Farrell for District 2 Supervisor",TERMINATED,Primarily Formed Candidate,1332919,,41 Corto Lane,,Redwood City,CA,94062,41 Corto Lane,,Redwood City,CA,94062,Stacy,Owens,,Henry,Levy,,,,
Community Justice Court Coalition: Breaking the Cycle. Yes on L.,Community Justice Court Coalition: Breaking the Cycle. Yes on L.,TERMINATED,Primarily Formed Measure,1308860,,"1819 Polk Street, No. 375",,San Francisco,CA,94109,"250 Sutter Street, Suite 650",,San Francisco,CA,94108,Stacy,Owens,,Henry,Levy,,,,
Cultural & Economic EquityPolitical Action Committee(CEEPAC),,,,,,,,,,,,,,,,,,,,,,,,
Cunnie for Sheriff 2011 sponsored by the San Francisco Police Officers Association,,,,,,,,,,,,,,,,,,,,,,,,
"D10 Forward, sponsored by the San Francisco Building and Construction Trades Council","D10 Forward, sponsored by the San Francisco Building and Construction Trades Council",TERMINATED,General Purpose,1332622,Pending,1188 Franklin Street #203,,San Francisco,CA,94109,1188 Franklin Street #203,,San Francisco,CA,94109,Michael,Theriault,,Nancy,Warren,,,,
David Crane,David Crane,ANNUAL,Major Donor,Pending,,2485 Broadway,,San Francisco,CA,94115,2485 Broadway,,San Francisco,CA,94115,,,,,,,,,
David Gavrich & San Francisco Bay Railroad,David Gavrich & San Francisco Bay Railroad,ANNUAL,Major Donor,Pending,,100 Cargo Way,,San Francisco,CA,94124,100 Cargo Way,,San Francisco,CA,94124,,,,,,,,,
DAVID LAMOND,,,,,,,,,,,,,,,,,,,,,,,,
David Singer,David Singer,ANNUAL,Major Donor,Pending,,59 Presidio  Blvd,,San Francisco,CA,94129,59 Presidio  Blvd,,San Francisco,CA,94129,David,Singer,,,,,,,
DAVID SINGER,,,,,,,,,,,,,,,,,,,,,,,,
Dean Preston,Dean Preston,ANNUAL,Major Donor,Pending,,1045 Hayes Street,,San Francisco,CA,94117,1045 Hayes Street,,San Francisco,CA,94117,,,,,,,,,
"Defend Bayview Hunter's Point, Committee for Proposition ..","Defend Bayview Hunter's Point, Committee for Proposition ..",TERMINATED,Primarily Formed Measure,1287074,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
Dianne Feinstein,Dianne Feinstein,ANNUAL,Major Donor,492045,,"909 Montgomery Street, Suite 400",,San Francisco,CA,94133,"909 Montgomery Street, Suite 400",,San Francisco,CA,94133,,,,,,,Dianne,Feinstein,
District 11 Democratic Club,District 11 Democratic Club,ACTIVE,General Purpose,991741,,325 Highland Avenue,,San Francisco,CA,94110,8 Colonial St.,,San Francisco,CA,94112,Nadia,Conrad,,David,Looman,,,,
District 2 Democratic Club,District 2 Democratic Club,TERMINATED,General Purpose,1332025,,178 Cervantes Boulevard,,San Francisco,CA,94123,178 Cervantes Boulevard,,San Francisco,CA,94123,Neal,Pancholi,,Suki,Kott,,,,
District 3 Citizens for Good Government,District 3 Citizens for Good Government,NR,Primarily Formed Measure,1303850,,P.O. Box 425034,,San Francisco,CA,94142,"930 Montgomery Street, Suite 301",,San Francisco,CA,94133,Eugene,Wong,,,,,,,
District 3 Democratic Club,District 3 Democratic Club,ACTIVE,General Purpose,1229630,,"1156 Sutter Street, #304",,San Francisco,CA,94109,"1156 Sutter Street, #304",,San Francisco,CA,94109,Chris,Schulman,,,,,,,
District 8 Democrats PAC,District 8 Democrats PAC,ACTIVE,General Purpose,1347969,,"301 Graystone Terrace, #2",,San Francisco,CA,94114,"301 Graystone Terrace, #2",,San Francisco,CA,94114,Gus,Feldman,,,,,,,
"DOLBY LABORATORIES, INC.","DOLBY LABORATORIES, INC.",ANNUAL,Major Donor,Pending,,100 Potrero Avenue,,San Francisco,CA,94103,100 Potrero Avenue,,San Francisco,CA,94103,Kevin,Heneghan,,,,,,,
Don Bauer & Co,Don Bauer & Co,ANNUAL,Major Donor,Pending,,549 28th Street,,San Francisco,CA,94131,549 28th Street,,San Francisco,CA,94131,,,,,,,,,
Douglas W. Shorenstein and Affiliated Entities,Douglas W. Shorenstein and Affiliated Entities,ANNUAL,Major Donor,478373,PEN1160,"235 Montgomery Street, 14th Floor",,San Francisco,CA,94104,"235 Montgomery Street, 14th Floor",,San Francisco,CA,94104,,,,,,,,,
DPR CONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,
"Drexler Colombo, LLC","Drexler Colombo, LLC",ANNUAL,Major Donor,Pending,,"5940 College Avenue, Suite F",,Oakland,CA,94618,15 Columbus Avenue,,Oakland,CA,94111,,,,,,,,,
"ECONOMIC RECOVERY SAN FRANCISCO, NO ON J & N, SPONSORED BY BUSINESS ASSOCIATIONS","ECONOMIC RECOVERY SAN FRANCISCO, NO ON J & N, SPONSORED BY BUSINESS ASSOCIATIONS",TERMINATED,Primarily Formed Measure,1329402,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Kevin,Heneghan,,James,Sutton,,,,
Educating Voters for Jobs Against Avalos and Adachi for Mayor 2011 a coalition of police and construction workers unions,Educating Voters for Jobs Against Avalos and Adachi for Mayor 2011 a coalition of police and construction workers unions,TERMINATED,Primarily Formed Candidate,1341023,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,1621 Market Street,,San Francisco,CA,94103,Larry,Mazzola,,Michael,Theriault,,,,
Elect Women 2012 (see attachment sheet for full committee name),Elect Women 2012 (see attachment sheet for full committee name),TERMINATED,Primarily Formed Candidate,1346853,,"870 Market Street, Suite 415",,San Francisco,CA,94102,"870 Market Street, Suite 415",,San Francisco,CA,94102,Stacy,Owens,,Marissa,Quaranta,,,,
Elizabeth H. Bechtel,Elizabeth H. Bechtel,ANNUAL,Major Donor,1330661,,PO Box 193809,,San Francisco,CA,94119,"199 Fremont Street, 22nd Floor",,San Francisco,CA,94105,,,,,,,,,
"Emerald Fund II, LLC","Emerald Fund II, LLC",ANNUAL,Major Donor,Pending,,"532 Folsom St., #400",,San Francisco,CA,94105,"532 Folsom St., #400",,San Francisco,CA,94105,,,,,,,,,
Equity for Public Service Employees,Equity for Public Service Employees,ACTIVE,Primarily Formed Measure,1259927,,1939 Hayes Street #8,,San Francisco,CA,94117,1939 Hayes Street #8,,San Francisco,CA,94117,Doug,Comstock,,,,,,,
Eric Schmidt,Eric Schmidt,ANNUAL,Major Donor,Pending,,"555 Bryant Street, Suite 347",,Palo Alto,CA,94301,"555 Bryant Street, Suite 347",,Palo Alto,CA,94301,,,,,,,,,
Evan C. Williams,Evan C. Williams,ANNUAL,Major Donor,Pending,,"760 Market Street, 3rd Floor",,San Francisco,CA,94103,"760 Market Street, 3rd Floor",,San Francisco,CA,94103,,,,,,,,,
"Expedia; Protect San Francisco Jobs, No on Propositions J & K, sponsored by and major funding by Expedia, a travel company","Expedia; Protect San Francisco Jobs, No on Propositions J & K, sponsored by and major funding by Expedia, a travel company",ANNUAL,Independent Expenditure,Pending,,"5325 Elkhorn Blvd, #321",,Sacramento,CA,95842,"5325 Elkhorn Blvd, #321",,Sacramento,CA,95842,,,,,,,,,
F. WARREN HELLMAN,,,,,,,,,,,,,,,,,,,,,,,,
Families for Neighborhood Schools,Families for Neighborhood Schools,TERMINATED,General Purpose,1336473,,"20 Galli Drive, Suite A",,Novato,CA,94949,"2261 Market Street, #319",,San Francisco,CA,94114,Mike,Sullivan,,Nancy,Warren,,,,
Farideh B. Mehran,Farideh B. Mehran,ANNUAL,Major Donor,Pending,,50 Belbrook Way,,Atherton,CA,94027,50 Belbrook Way,,Atherton,CA,94027,Charles,Bell,,,,,,,
FDR Democratic Club of San Francisco,FDR Democratic Club of San Francisco,ACTIVE,General Purpose,1351724,,P.O. Box 590181,,San Francisco,CA,94159,1345 Clement Street #103,,San Francisco,CA,94118,Vanessa,Lyens,,,,,,,
Fix Our Streets - Yes on B,Fix Our Streets - Yes on B,TERMINATED,Primarily Formed Measure,1340704,,5940 College Avenue,,Oakland,CA,94618,5940 College Avenue,,Oakland,CA,94618,Ramon,Hernandez,,Stacy,Owens,,,,
Forest City & Affiliated Entities,Forest City & Affiliated Entities,ANNUAL,Major Donor,489213,,"949 S Hope Street, #100",,Los Angeles,CA,90015,"949 S Hope Street, #100",,Los Angeles,CA,90015,,,,,,,,,
"Forest City Rental Properties, Inc. & Affiliated Entities",,,,,,,,,,,,,,,,,,,,,,,,
Frank Chong for School Board,Frank Chong for School Board,TERMINATED,Candidate or Officeholder,981602,,123 Townsend St.,,San Francisco,CA,94107,123 Townsend St.,,San Francisco,CA,94107,Leslie,Katz,,,,,Frank,Chong,
"Franklin P. Johnson, Jr. & the Johnson Revocable Trust dated 6/25/2003","Franklin P. Johnson, Jr. & the Johnson Revocable Trust dated 6/25/2003",ANNUAL,Major Donor,1228633,,1411 Edgewood Drive,,Palo Alto,CA,94301,1411 Edgewood Drive,,Palo Alto,CA,94301,,,,,,,,,
"FRIENDS AND NEIGHBORS IN SUPPORT OF MIKE GARCIA FOR DISTRICT 7 SUPERVISOR 2012 - A COALITION OF TAXPAYERS, RESIDENTS, AND THE SAN FRANCISCO APARTMENT ASSOCIATION","FRIENDS AND NEIGHBORS IN SUPPORT OF MIKE GARCIA FOR DISTRICT 7 SUPERVISOR 2012 - A COALITION OF TAXPAYERS, RESIDENTS, AND THE SAN FRANCISCO APARTMENT ASSOCIATION",TERMINATED,Primarily Formed Candidate,1348668,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,265 Ivy Street,,San Francisco,CA,94102,Janan,New,,,,,,,
"Friends of Ethics, Committee Opposed to Measures E & F","Friends of Ethics, Committee Opposed to Measures E & F",TERMINATED,Primarily Formed Measure,1340788,,"3400 - 16th Street, #306",,San Francisco,CA,94114,245 Diamond Street,,San Francisco,CA,94114,Paul,Melbostad,,,,,,,
Friends Supporting Debra Walker for Supervisor 2010 sponsored by labor organizations,Friends Supporting Debra Walker for Supervisor 2010 sponsored by labor organizations,TERMINATED,Primarily Formed Candidate,1331560,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,Tim,Paulson,,Hang,To,,,,
"G. LEONARD BAKER, JR.",,,,,,,,,,,,,,,,,,,,,,,,
George A. Miller,George A. Miller,ANNUAL,Major Donor,491307,,"301 11th Street, Apt. 5",,San Francisco,CA,94103,"301 11th Street, Apt. 5",,San Francisco,CA,94103,,,,,,,,,
George H. Hume,George H. Hume,ANNUAL,Major Donor,,Pending,"600 Montgomery St., 28th Floor",,San Francisco,CA,94127,"600 Montgomery St., 28th Floor",,San Francisco,CA,94127,,,,,,,,,
GLUMAC,GLUMAC,ANNUAL,Major Donor,Pending,,150 CALIFORNIA STREET 3rd Floor,,SAN FRANCISCO,CA,94111,150 CALIFORNIA STREET 3rd Floor,,SAN FRANCISCO,CA,94111,,,,,,,,,
GMP,GMP,ANNUAL,Major Donor,Pending,,162 Del Oro Lagoon,,Novato,CA,94949,162 Del Oro Lagoon,,Novato,CA,94949,Debra,Deleo,,,,,,,
GOLDEN GATE RESTAURANT ASSOCIATION PAC,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDEN GATEWAY CENTER, A LIMITED PARTNERSHIP",,,,,,,,,,,,,,,,,,,,,,,,
Good Government Alliance Committee,Good Government Alliance Committee,TERMINATED,General Purpose,890287,,"380 West Portal Avenue, Suite F",,San Francisco,CA,94127,"380 West Portal Avenue, Suite F",,San Francisco,CA,94127,David,Slosberg,,,,,Quentin,Kopp,
Grassroots Democratic Club,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Wendt,Gregory Wendt,ANNUAL,Major Donor,1319982,,"1 Market Street, Steuart Tower #2000",,San Francisco,CA,94105,"1 Market Street, Steuart Tower #2000",,San Francisco,CA,94105,,,,,,,,,
"H No! Let Parents Decide, sponsored by and with major funding from: United Educators of San Francisco","H No! Let Parents Decide, sponsored by and with major funding from: United Educators of San Francisco",TERMINATED,Primarily Formed Measure,1341548,,2310 Mason Street,,San Francisco,CA,94133,2310 Mason Street,,San Francisco,CA,94133,Stacy,Owens,,Henry,Levy,,,,
Haiyi Hotels Worldwide,Haiyi Hotels Worldwide,ANNUAL,Major Donor,Pending,,121 7th Street,,San Francisco,CA,94103,121 7th Street,,San Francisco,CA,94103,,,,,,,,,
HAMID MOGHADAM,,,,,,,,,,,,,,,,,,,,,,,,
Harriet Heyman,Harriet Heyman,ANNUAL,Major Donor,Pending,,2626 Vallejo Street,,San Francisco,CA,94123,2626 Vallejo Street,,San Francisco,CA,94123,,,,,,,,,
Harvey Milk LGBT Democratic Club PAC,Harvey Milk LGBT Democratic Club PAC,NONSF,General Purpose,921683,,342 London Street,,San Francisco,CA,94112,342 London Street,,San Francisco,CA,94112,Debra,Cleaver,,,,,,,
"HOK Group, Inc.","HOK Group, Inc.",ANNUAL,Major Donor,,PEN989,"1 Bush Street, Suite 200",,San Francisco,CA,94105,"1 Bush Street, Suite 200",,San Francisco,CA,94105,Edward,McCrary,,,,,,,
Holloway,,,,,,,,,,,,,,,,,,,,,,,,
HOTEL COUNCIL OF SAN FRANCISCO,,,,,,,,,,,,,,,,,,,,,,,,
Irish American Democratic Club/San Francisco,Irish American Democratic Club/San Francisco,ACTIVE,General Purpose,991703,,1218 Rhode Island St. #7,,San Francisco,CA,94107,1218 Rhode Island St. #7,,San Francisco,CA,94107,Jim,Wachob,,,,,,,
Janet A. McKinley,Janet A. McKinley,ANNUAL,Major Donor,Pending,,"301 11th Street, Apt. 5",,San Francisco,CA,94103,"301 11th Street, Apt. 5",,San Francisco,CA,94103,,,,,,,,,
Janet Reilly,Janet Reilly,ANNUAL,Major Donor,1276040,,"465 California Street, 16th Floor",,San Francisco,CA,94104,"465 California Street, 16th Floor",,San Francisco,CA,94104,,,,,,,,,
Jennifer A. Rainin,Jennifer A. Rainin,ANNUAL,Major Donor,1315160,,"1 Kaiser Plaza, Suite 1675",,Oakland,CA,94612,"1 Kaiser Plaza, Suite 1675",,Oakland,CA,94612,Charles,Bell,,,,,,,
Jewish Community Federation,Jewish Community Federation,ANNUAL,Major Donor,Pending,,121 Steward Street,,San Francisco,CA,94105,121 Steward Street,,San Francisco,CA,94105,,,,,,,,,
"JGE Capital Partners, LLC","JGE Capital Partners, LLC",ANNUAL,Major Donor,Pending,,"600 Montgomery Street, 36th Floor",,San Francisco,CA,94111,"600 Montgomery Street, 36th Floor",,San Francisco,CA,94111,Cheryl,Thompson,,,,,,,
Joanna Rees,Joanna Rees,ANNUAL,Major Donor,Pending,,"5325 Elkhorn Blvd., #321",,Sacramento,CA,95842,"5325 Elkhorn Blvd., #321",,Sacramento,CA,95842,,,,,,,,,
John Osterweis,John Osterweis,ANNUAL,Major Donor,Pending,,"One Maritime Plaza, Ste. 800",,San Francisco,CA,94111,"One Maritime Plaza, Ste. 800",,San Francisco,CA,94111,,,,,,,,,
"JOHN WADSWORTH, JR.",,,,,,,,,,,,,,,,,,,,,,,,
Joseph O. Tobin II,Joseph O. Tobin II,ANNUAL,Major Donor,Pending,,2108 Washington Street,,San Francisco,CA,94109,2108 Washington Street,,San Francisco,CA,94109,,,,,,,,,
Karl A. Jacob and Patricia Fahey,Karl A. Jacob and Patricia Fahey,ANNUAL,Major Donor,Pending,,119 St. Thomas Way,,Belvedere Tiburon,CA,94920,119 St. Thomas Way,,Belvedere Tiburon,CA,94920,,,,,,,,,
"Keep San Francisco Green; No on Prop A, A Coalition of Recology, Labor, Business and Environmentalists, Major Funding by Recology.","Keep San Francisco Green; No on Prop A, A Coalition of Recology, Labor, Business and Environmentalists, Major Funding by Recology.",TERMINATED,Primarily Formed Measure,1344802,,5940 College Ave,,Oakland,CA,94618,950 7th Street,,San Francisco,CA,94107,Stacy,Owens,,Henry,Levy,,,,
Kwan S. Cheung,Kwan S. Cheung,ANNUAL,Major Donor,Pending,,32408 Central Avenue,,Union City,CA,94587,32408 Central Avenue,,Union City,CA,94587,,,,,,,,,
"L. JOHN DOERR, III",,,,,,,,,,,,,,,,,,,,,,,,
Latino Democratic Club: San Francisco,,,,,,,,,,,,,,,,,,,,,,,,
Latino Political Action Committee,Latino Political Action Committee,ACTIVE,General Purpose,990469,,35 Madrone Avenue,,San Francisco,CA,94127,35 Madrone Avenue,,San Francisco,CA,94127,Sonia,Melara,,,,,,,
Laurence Christian Marlin And Affiliated Entities,Laurence Christian Marlin And Affiliated Entities,ANNUAL,Major Donor,Pending,,"3109 Grand Avenue, #136",,Miami,FL,33133,"3109 Grand Avenue, #136",,Miami,FL,33133,,,,,,,,,
LENNAR HOMES OF CALIFORNIA INC. AND AFFILIATED ENTITIES,LENNAR HOMES OF CALIFORNIA INC. AND AFFILIATED ENTITIES,ANNUAL,Major Donor,1229831,PEN1438,"c/o 2530 Kerner Blvd., Suite 250",,San Rafael,CA,94901,"c/o 2530 Kerner Blvd., Suite 250",,San Rafael,CA,94901,,,,,,,,,
Lenny Mendonca,Lenny Mendonca,ANNUAL,Major Donor,1288310,,"555 California Street, Suite 4700",,San Francisco,CA,94101,"555 California Street, Suite 4700",,San Francisco,CA,94101,,,,,,,,,
LET SF KIDS PLAY,,,,,,,,,,,,,,,,,,,,,,,,
LINDA VOIGT,LINDA VOIGT,ANNUAL,Major Donor,Pending,,"655 Montgomery Street, #1700",,San Francisco,CA,94111,"655 Montgomery Street, #1700",,San Francisco,CA,94111,,,,,,,,,
MARC BENIOFF,,,,,,,,,,,,,,,,,,,,,,,,
MARC STAD,,,,,,,,,,,,,,,,,,,,,,,,
MARK PINCUS,MARK PINCUS,ANNUAL,Major Donor,Pending,,"35 Miller Avenue, #139",,Mill Valley,CA,94941,"35 Miller Avenue, #139",,Mill Valley,CA,94941,,,,,,,,,
Maryann Mascarinas,Maryann Mascarinas,ANNUAL,Major Donor,Pending,,"3288 21st Street, Suite 154",,San Francisco,CA,94110,"3288 21st Street, Suite 154",,San Francisco,CA,94110,,,,,,,,,
Matt Haney for School Board 2012,Matt Haney for School Board 2012,TERMINATED,Candidate or Officeholder,1346687,,P.O. Box 78342,,San Francisco,CA,94107,"549 Fell Street, #8",,San Francisco,CA,94102,Andrew,Sinn,,,,,Matt,Haney,
MATTHEW BARGER,,,,,,,,,,,,,,,,,,,,,,,,
MATTHEW COHLER,,,,,,,,,,,,,,,,,,,,,,,,
Mayer,,,,,,,,,,,,,,,,,,,,,,,,
MAYOR ED LEE FOR SAN FRANCISCO COMMITTEE,,,,,,,,,,,,,,,,,,,,,,,,
Medallion Holders Association PAC,Medallion Holders Association PAC,ACTIVE,General Purpose,1292075,,662 20th Avenue,,San Francisco,CA,94121,662 20th Avenue,,San Francisco,CA,94121,Dennis,Korkos,,,,,,,
Michael J. O'Donoghue,Michael J. O'Donoghue,ANNUAL,Major Donor,Pending,,1519 McAllister Street,,San Francisco,CA,94115,1519 McAllister Street,,San Francisco,CA,94115,,,,,,,,,
Michael Moritz,Michael Moritz,ANNUAL,Major Donor,Pending,,2626 Vallejo Street,,San Francisco,CA,94123,2626 Vallejo Street,,San Francisco,CA,94123,,,,,,,,,
"Mid-Market ARTS Alliance, Major funding by Warfield Theater, Supported by Market Street Revival, a coalition of artists, neighbors, tenants, and small business owners.",,,,,,,,,,,,,,,,,,,,,,,,
"Mid-Market ARTS Alliance, Yes on D. Major funding by Warfield Theater, Supported by Market Street Revival, a coalition of artists, neighbors, tenants, and small business owners.",,,,,,,,,,,,,,,,,,,,,,,,
"Mid-Market ARTS Alliance/Yes on D. Major funding by Warfield Theater. Supported by Market Street Revival, a coalition of artists, neighbors, tenants, and small business owners.",,,,,,,,,,,,,,,,,,,,,,,,
Mike McGinley,Mike McGinley,ANNUAL,Major Donor,Pending,,1669 N Doheny Drive,,Los Angeles,CA,90069,1669 N Doheny Drive,,Los Angeles,CA,90069,,,,,,,,,
"MILLENNIUM PARTNERS, INCLUDING SEAN M. JEFFRIES",,,,,,,,,,,,,,,,,,,,,,,,
Municipal Executives Association of San Francisco PAC,,,,,,,,,,,,,,,,,,,,,,,,
National Union of Healthcare Workers Candidate Committee for Quality Patient Care and Union Democracy,National Union of Healthcare Workers Candidate Committee for Quality Patient Care and Union Democracy,NONSF,General Purpose,1318200,,5940 College Avenue,,Oakland,CA,94618,"5801 Christie Avenue, Suite 525",,Emerville,CA,94608,Sal,Rosselli,,Stacy,Owens,,,,
Neighbors Against Traffic & Pollution - No on H,Neighbors Against Traffic & Pollution - No on H,TERMINATED,Primarily Formed Measure,1300072,,"470 Columbus Avenue, Suite 211",,San Francisco,CA,94133,"470 Columbus Avenue, Suite 211",,San Francisco,CA,94133,Aaron,Peskin,,Stacy,Owens,,,,
"NEIGHBORS FOR HOUSING AND PARKS AT UNION IRON WORKS, WITH MAJOR SUPPORT FROM FC PIER 70, LLC",,,,,,,,,,,,,,,,,,,,,,,,
New Day for SF,New Day for SF,TERMINATED,General Purpose,1328230,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
No Military Recruitment in Our Schools-No on V,No Military Recruitment in Our Schools-No on V,TERMINATED,Primarily Formed Measure,1308856,,65 Ninth Street,,San Francisco,CA,94103,65 Ninth Street,,San Francisco,CA,94103,Deborah,Gordon,,Riva,Enteen,,,,
"No on B 2014, sponsored by the San Francisco Alliance for Jobs and Sustainable Growth","No on B 2014, sponsored by the San Francisco Alliance for Jobs and Sustainable Growth",ACTIVE,Primarily Formed Measure,1365989,,"425 Market Street, 26th Floor",,San Francisco,CA,94105,"425 Market Street, 26th Floor",,San Francisco,CA,94105,Kevin,Heneghan,,,,,,,
"No on K, Committee Against Trafficking and Sexual Exploitation, Committee Against Proposition K","No on K, Committee Against Trafficking and Sexual Exploitation, Committee Against Proposition K",TERMINATED,Primarily Formed Measure,1310101,,2467 28th Avenue,,San Francisco,CA,94116,2467 28th Avenue,,San Francisco,CA,94116,Heidi,Machen,,Nara,Dahlbecka,,,,
"NO ON PROPOSITION A, A COMMITTEE OF PROPERTY OWNERS AND RENTERS WHO OPPOSE THE LARGEST BOND IN SAN FRANCISCO HISTORY AND SUPPORT A LESS EXPENSIVE PLAN","NO ON PROPOSITION A, A COMMITTEE OF PROPERTY OWNERS AND RENTERS WHO OPPOSE THE LARGEST BOND IN SAN FRANCISCO HISTORY AND SUPPORT A LESS EXPENSIVE PLAN",TERMINATED,Primarily Formed Measure,1311579,,"2350 KERNER BLVD., STE 250",,SAN RAFAEL,CA,94901,265 IVY STREET,,SAN FRANCISCO,CA,94102,Jennie,Eddy,,,,,,,
No Wall On The Northeast Waterfront,,,,,,,,,,,,,,,,,,,,,,,,
